.2017-05-17T13:12:05.034 [main] INFO  c.a.trip.cplex.ProblemSolver - CPLEX problem solving... 
.2017-05-17T13:12:05.118 [main] INFO  c.a.trip.cplex.ProblemSolver - CPLEX Solution status = Optimal 
.2017-05-17T13:12:05.133 [main] INFO  c.a.trip.cplex.ProblemSolver - Solution value  = 2.0 
.2017-05-17T13:12:05.134 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 0: Value = 1.0 
.2017-05-17T13:12:05.134 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 1: Value = 0.0 
.2017-05-17T13:12:05.134 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 2: Value = 0.0 
.2017-05-17T13:12:05.139 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 3: Value = 0.0 
.2017-05-17T13:12:05.139 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 4: Value = 0.0 
.2017-05-17T13:12:05.139 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 5: Value = 0.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 6: Value = 0.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 7: Value = 0.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 8: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 9: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 10: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 11: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 12: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 13: Value = 1.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 14: Value = 0.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 15: Value = 0.0 
.2017-05-17T13:12:05.140 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 16: Value = 0.0 
.2017-05-17T13:12:05.141 [main] DEBUG c.a.trip.cplex.ProblemSolver - Variable 17: Value = 0.0 
.2017-05-17T13:12:05.141 [main] INFO  c.a.trip.cplex.ProblemSolver - [[m=BUS, i=1, a=1, j=2, b=3], [m=BUS, i=2, a=3, j=3, b=5], [m=VISIT, i=3, a=5, j=3, b=10], [m=BUS, i=3, a=10, j=4, b=13], [m=BUS, i=4, a=13, j=5, b=17], [m=VISIT, i=5, a=17, j=5, b=25], [m=BUS, i=5, a=25, j=9, b=30]] 
